codigo;descricao;porte;ch;co
41401530;Teste cutâneo-alérgicos Epitelis de Animais;;;
41401522;Teste cutâneo-alérgicos para látex;;;
41401514;Oximetria não invasiva;;;
41401492;Testes vestibulares, com vecto-eletronistagmografia;;;
41401484;Testes vestibulares, com prova calórica, sem eletronistagmografia;;;
41401476;Testes vestibulares, com prova calórica, com eletronistagmografia;;;
41401468;Testes do desenvolvimento (escala de Denver e outras);;;
41401450;Testes de contato por fotossensibilização - por substância, acima de 30;;;
41401441;Testes de contato por fotossensibilização - até 30 substâncias;;;
41401433;Testes de contato - por substância, acima de 30;;;
41401425;Testes de contato - até 30 substâncias;;;
41401417;Testes de aptidão em laboratório (agilidade, equilíbrio, tempo de reação e coordenação);;;
41401409;Testes cutâneo-alérgicos para pólens;;;
41401395;Testes cutâneo-alérgicos para insetos hematófagos;;;
41401387;Testes cutâneo-alérgicos para fungos;;;
41401379;Testes cutâneo-alérgicos para alimentos;;;
41401360;Testes cutâneo-alérgicos para alérgenos da poeira;;;
41401352;Testes anaeróbicos em campo sem determinação do lactato sanguíneo;;;
41401344;Testes anaeróbicos em campo com determinação do lactato sanguíneo;;;
41401336;Testes aeróbicos em campo com telemetria da frequência cardíaca;;;
41401328;Testes aeróbicos em campo com medida de gases expirados;;;
41401310;Testes aeróbicos em campo com determinação do lactato sanguíneo;;;
41401301;Teste provocativo para glaucoma - binocular;;;
41401298;Teste para broncoespasmo de exercício;;;
41401280;Teste de SISI;;;
41401271;Teste de sensibilidade de contraste ou de cores - monocular;;;
41401263;Teste de prótese auditiva;;;
41401255;Teste de Mitsuda;;;
41401247;Teste de Huhner;;;
41401239;Teste de Hilger para paralisia facial;;;
41401220;Teste de glicerol (com eletrococleografia pré e pós);;;
41401212;Teste de glicerol (com audiometria tonal limiar pré e pós);;;
41401204;Teste de exercício em ergômetro com medida de gases expirados e eletrocardiograma;;;
41401190;Teste de exercício em ergômetro com medida de gases expirados (teste cardiopulmonar de exercício) com qualquer ergômetro;;;
41401182;Teste de exercício em ergômetro com  monitorização  do eletrocardiograma;;;
41401174;Teste de exercício em ergômetro com  monitorização  da frequência cardíaca;;;
41401166;Teste de exercício em ergômetro com   realização  de gasometria arterial;;;
41401158;Teste de exercício em ergômetro   com  determinação  do lactato sanguíneo;;;
41401140;Teste de exercício dos 4 segundos;;;
41401131;Teste de equilíbrio peritoneal (PET);;;
41401123;Teste de desempenho anaeróbico em laboratório (T. de Wingate);;;
41401115;Teste de caminhada de 6 minutos;;;
41401107;Teste de broncoprovocação;;;
41401093;Teste de adaptação patológica (tone decay test);;;
41401085;Teste da histamina (duas áreas testadas);;;
41401077;Provas imuno-alérgicas para fungos (por antígeno);;;
41401069;Provas imuno-alérgicas para bactérias (por antígeno);;;
41401050;Prova de Lombard;;;
41401042;Prova de auto-rotação cefálica;;;
41401026;Avaliação da função muscular (por movimento) com equipamento mecânico (dinamometria/módulos de cargas);;;
41401018;Avaliação da função muscular (por movimento) com equipamento informatizado (isocinético);;;
41301595;Mapeamento de retina - monocular - indicação específica;;;
41301587;Gonioscopia - binocular - indicação específica;;;
41301579;Tonometria - binocular - indicação específica;;;
41301560;Campimetria blue-yellow (perimetria azul amarelo);;;
41301552;Vulvoscopia por vídeo;;;
41301544;Colposcopia por vídeo;;;
41301536;Colposcopia anal;;;
41301528;Cauterização de alta frequência em sistema genital e reprodutor feminino;;;
